id | datafile | name | comment | lines | size
cia-world-factbook | cia-world-factbook.csv | CIA World Factbook | The <a class="exp" href="https://www.cia.gov/library/publications/the-world-factbook/">CIA's large public information dataset</a> containing many key statistics on the countries of the world. <a class="exp" href="https://www.cia.gov/library/publications/download/">Downloaded from cia.gov</a>, then <a class="exp" href="http://wfb2sql.sourceforge.net/">extracted some data into a SQL table</a> and exported as CSV. Last updated 2007-06-19 | 258 | 31 KiB
opengeodb | opengeodb.csv | opengeodb.sf.net | <a class="exp" href="http://opengeodb.sf.net">Open database of cities</a> and zip codes of the german speaking area in Europe: Germany, Austria, Switzerland, Belgium and Liechtenstein | 21084 | 1.8 MiB
mysql-world-country | mysql-world-country.csv | Countries of the World | Taken from <a class="exp" href="http://dev.mysql.com/doc/world-setup/en/world-setup.html">MySQL's world sample database</a> (its a bit out-of-date). Originally taken from <a class="exp" href="http://www.stat.fi/tup/maanum/index_en.html">Statistics Finland: World in Figures</a> | 239 | 32 KiB
mysql-world-city | mysql-world-city.csv | Largest Cities of the World | Also taken from <a class="exp" href="http://dev.mysql.com/doc/world-setup/en/world-setup.html">MySQL's world sample database</a>, less out-of-date. | 4079 | 144 KiB
iso-3166 | iso-3166.csv | ISO-3166 | ISO Standard 3166 defines three-part geographic codes for names of countries, dependent areas and principal subdevisions thereof. This is a partial listing of its entries. | 3995 | 132 KiB
geonames-cities15000 | geonames-cities15000.csv | Cities with population &gt; 15000 | Imported from <a class="exp" href="http://www.geonames.org/">geonames.org</a>. Removed a few columns to make the tables more readable. | 20810 | 1.8 MiB
geonames-cities5000 | geonames-cities5000.csv | Cities with population &gt; 5000 | Also imported from <a class="exp" href="http://www.geonames.org/">geonames.org</a> | 41557 | 3.7 MiB
geonames-cities1000 | geonames-cities1000.csv | Cities with population &gt; 1000 | Also imported from <a class="exp" href="http://www.geonames.org/">geonames.org</a> | 83873 | 7.6 MiB
geonames-CN | geonames-CN.csv | Cities in China | Also imported from <a class="exp" href="http://www.geonames.org/">geonames.org</a> - Country code CN - China | 96715 | 7.0 MiB
geonames-DE | geonames-DE.csv | Cities in Germany | Also imported from <a class="exp" href="http://www.geonames.org/">geonames.org</a> - Country code DE - Germany | 78337 | 5.9 MiB
geonames-RU | geonames-RU.csv | Cities in Russia | Also imported from <a class="exp" href="http://www.geonames.org/">geonames.org</a> - Country code RU - Russia | 157243 | 11.7 MiB
geonames-US | geonames-US.csv | Cities in United States | Also imported from <a class="exp" href="http://www.geonames.org/">geonames.org</a> - Country code US - United States | 174719 | 18.6 MiB
