		"average"	"relative"	"my-rijndael"	"gladman-serpent"	"mybotan-serpent"	"cryptopp-rijndael"	"cryptopp-serpent"	"cryptopp-twofish"	"..."
	"icc-O1"	34,977	100.00%	46,864	27,123	30,029	39,456	32,779	58,783	"..."
	"icc-O2"	34,713	99.25%	47,630	27,905	30,195	39,638	32,291	58,961	"..."
	"icc-O3"	34,653	99.07%	47,534	27,873	30,196	39,283	32,112	58,979	"..."
	"icc-Os"	32,620	93.26%	46,541	27,950	8,254	39,510	32,626	58,911	"..."
	"msvc8-Ox"	29,168	83.39%	26,135	21,027	22,888	38,032	25,234	39,159	"..."
	"msvc8-O2"	29,098	83.19%	25,895	21,155	22,642	37,967	25,312	39,015	"..."
	"gcc41-O3-p4s-ofp"	28,863	82.52%	34,955	13,040	26,198	31,906	28,338	37,214	"..."
	"gcc41-O3-p4-ofp"	28,790	82.31%	34,493	13,290	26,846	32,154	28,071	37,091	"..."
	"gcc41-O3-p4s-ofp-ul"	28,770	82.25%	35,025	13,457	26,690	32,065	27,919	38,452	"..."
	"gcc41-O2-p4-ofp"	28,327	80.99%	33,855	12,723	26,763	31,633	27,958	37,086	"..."
	"gcc41-O2-p4s-ofp"	28,324	80.98%	34,230	12,653	26,539	32,095	27,190	37,493	"..."
	"gcc41-O2-p4s-ofp-ul"	28,287	80.87%	34,160	12,816	26,820	32,039	27,489	37,109	"..."
	"gcc41-O1"	26,537	75.87%	44,357	6,293	20,535	33,495	23,282	36,114	"..."
	"gcc34-O3-p4s-ofp-ul"	25,837	73.87%	27,841	8,709	7,174	35,445	27,308	35,370	"..."
	"..."	"..."	"..."	"..."	"..."	"..."	"..."	"..."	"..."	"..."
